levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'alert_time': 'None', 'ma_user': '张三', 'kpi_assortment': None, 'monitor_version': '1.1', 'service_object': None, 'customer_code': 'dcits', 'kpi_name': '网络流量超阀值', 'identity_code': None, 'business_system': 'ESB、CSB多平台业务系统', 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'ma_mobile': '12938457009', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_value': '297484', 'monitor_code': 'itsSmart', 'ma_email': 'zhangsan@customer.com', 'factory_name': 'HP', 'city': None, 'model_name': 'DL388G9'} - [12/Jul/2018 03:54:54]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'alert_time': 'None', 'ma_user': '张三', 'kpi_assortment': None, 'monitor_version': '1.1', 'service_object': None, 'customer_code': 'dcits', 'kpi_name': '网络流量超阀值', 'identity_code': None, 'business_system': 'ESB、CSB多平台业务系统', 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'ma_mobile': '12938457009', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_value': '297484', 'monitor_code': 'itsSmart', 'ma_email': 'zhangsan@customer.com', 'factory_name': 'HP', 'city': None, 'model_name': 'DL388G9'} - [12/Jul/2018 03:54:54]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'alert_time': 'None', 'ma_user': '张三', 'kpi_assortment': None, 'monitor_version': '1.1', 'service_object': None, 'customer_code': 'dcits', 'kpi_name': '网络流量超阀值', 'identity_code': None, 'business_system': 'ESB、CSB多平台业务系统', 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'ma_mobile': '12938457009', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_value': '297484', 'monitor_code': 'itsSmart', 'ma_email': 'zhangsan@customer.com', 'factory_name': 'HP', 'city': None, 'model_name': 'DL388G9'} - [12/Jul/2018 03:54:54]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'alert_time': 'None', 'ma_user': '张三', 'kpi_assortment': None, 'monitor_version': '1.1', 'service_object': None, 'customer_code': 'dcits', 'kpi_name': '网络流量超阀值', 'identity_code': None, 'business_system': 'ESB、CSB多平台业务系统', 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'ma_mobile': '12938457009', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_value': '297484', 'monitor_code': 'itsSmart', 'ma_email': 'zhangsan@customer.com', 'factory_name': 'HP', 'city': None, 'model_name': 'DL388G9'} - [12/Jul/2018 03:54:54]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'alert_time': 'None', 'ma_user': '张三', 'kpi_assortment': None, 'monitor_version': '1.1', 'service_object': None, 'customer_code': 'dcits', 'kpi_name': '网络流量超阀值', 'identity_code': None, 'business_system': 'ESB、CSB多平台业务系统', 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'ma_mobile': '12938457009', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_value': '297484', 'monitor_code': 'itsSmart', 'ma_email': 'zhangsan@customer.com', 'factory_name': 'HP', 'city': None, 'model_name': 'DL388G9'} - [12/Jul/2018 03:54:54]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_object': None, 'ma_email': 'zhangsan@customer.com', 'ma_mobile': '12938457009', 'monitor_version': '1.1', 'kpi_assortment': None, 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'monitor_code': 'itsSmart', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_name': '网络流量超阀值', 'factory_name': 'HP', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'business_system': 'ESB、CSB多平台业务系统', 'alert_time': 'None', 'identity_code': None, 'kpi_value': '297484', 'city': None, 'ma_user': '张三', 'customer_code': 'dcits', 'model_name': 'DL388G9'} - [12/Jul/2018 03:56:36]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_object': None, 'ma_email': 'zhangsan@customer.com', 'ma_mobile': '12938457009', 'monitor_version': '1.1', 'kpi_assortment': None, 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'monitor_code': 'itsSmart', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_name': '网络流量超阀值', 'factory_name': 'HP', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'business_system': 'ESB、CSB多平台业务系统', 'alert_time': 'None', 'identity_code': None, 'kpi_value': '297484', 'city': None, 'ma_user': '张三', 'customer_code': 'dcits', 'model_name': 'DL388G9'} - [12/Jul/2018 03:56:36]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_object': None, 'ma_email': 'zhangsan@customer.com', 'ma_mobile': '12938457009', 'monitor_version': '1.1', 'kpi_assortment': None, 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'monitor_code': 'itsSmart', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_name': '网络流量超阀值', 'factory_name': 'HP', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'business_system': 'ESB、CSB多平台业务系统', 'alert_time': 'None', 'identity_code': None, 'kpi_value': '297484', 'city': None, 'ma_user': '张三', 'customer_code': 'dcits', 'model_name': 'DL388G9'} - [12/Jul/2018 03:56:36]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_object': None, 'ma_email': 'zhangsan@customer.com', 'ma_mobile': '12938457009', 'monitor_version': '1.1', 'kpi_assortment': None, 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'monitor_code': 'itsSmart', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_name': '网络流量超阀值', 'factory_name': 'HP', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'business_system': 'ESB、CSB多平台业务系统', 'alert_time': 'None', 'identity_code': None, 'kpi_value': '297484', 'city': None, 'ma_user': '张三', 'customer_code': 'dcits', 'model_name': 'DL388G9'} - [12/Jul/2018 03:56:36]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ip': '172.19.100.83', 'service_object': None, 'ma_email': 'zhangsan@customer.com', 'ma_mobile': '12938457009', 'monitor_version': '1.1', 'kpi_assortment': None, 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'monitor_code': 'itsSmart', 'sn': 'RIEO302-039', 'ma_dept': '运维部', 'kpi_name': '网络流量超阀值', 'factory_name': 'HP', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'business_system': 'ESB、CSB多平台业务系统', 'alert_time': 'None', 'identity_code': None, 'kpi_value': '297484', 'city': None, 'ma_user': '张三', 'customer_code': 'dcits', 'model_name': 'DL388G9'} - [12/Jul/2018 03:56:36]
levelname:INFO filename: take_data.py outputNumber: [108]  thread: MainThread output msg:  {'ma_mobile': '12938457009', 'ma_dept': '运维部', 'kpi_assortment': None, 'monitor_version': '1.1', 'alert_time': '2018-07-12 03:58:10', 'customer_code': 'dcits', 'alert_content': 'eth5网卡出流量为297484,超过40000,请关注.', 'factory_name': 'HP', 'ma_email': 'zhangsan@customer.com', 'ip': '172.19.100.83', 'service_name': '44348e04dcaf410890af4efb0b76e10a', 'service_object': None, 'city': None, 'model_name': 'DL388G9', 'identity_code': None, 'kpi_name': '网络流量超阀值', 'sn': 'RIEO302-039', 'kpi_value': '297484', 'monitor_code': 'itsSmart', 'ma_user': '张三', 'business_system': 'ESB、CSB多平台业务系统'} - [12/Jul/2018 03:58:10]
